"timestamp","face_price","selling_price"
2019-01-04 00:01:11,25000,23220
2019-01-04 00:01:11,35000,32500
2019-01-04 00:01:11,62000,57590
2019-01-04 00:01:11,8000,7424
2019-01-04 00:01:11,10000,9290
2019-01-04 00:01:11,10000,9295
2019-01-04 00:01:11,80000,74325
2019-01-04 00:01:11,10000,9300
2019-01-04 00:01:11,20000,18600
2019-01-04 00:01:11,20000,18600
2019-01-04 00:01:11,30000,27920
2019-01-04 00:01:11,50000,46510
2019-01-04 00:01:11,10000,9319
2019-01-04 00:01:11,625,582
2019-01-04 00:01:11,1e+05,93200
2019-01-04 00:01:11,9000,8388
2019-01-04 00:01:11,30000,27999
2019-01-04 00:01:11,600,560
2019-01-04 00:01:11,640,598
2019-01-04 00:01:11,10000,9350
2019-01-05 00:01:14,25000,23000
2019-01-05 00:01:14,47000,43376
2019-01-05 00:01:14,49000,45222
2019-01-05 00:01:14,50000,46145
2019-01-05 00:01:14,53000,48913
2019-01-05 00:01:14,55000,50759
2019-01-05 00:01:14,20000,18498
2019-01-05 00:01:14,10000,9259
2019-01-05 00:01:14,29000,26850
2019-01-05 00:01:14,22000,20394
2019-01-05 00:01:14,30000,27810
2019-01-05 00:01:14,34000,31518
2019-01-05 00:01:14,50000,46350
2019-01-05 00:01:14,1e+05,92899
2019-01-05 00:01:14,12000,11136
2019-01-05 00:01:14,14000,12992
2019-01-05 00:01:14,20000,18560
2019-01-05 00:01:14,20000,18578
2019-01-05 00:01:14,22000,20416
2019-01-05 00:01:14,25000,23222
2019-01-04 02:03:54,19500,18000
2019-01-04 02:03:54,43000,39825
2019-01-04 02:03:54,14900,13820
2019-01-04 02:03:54,25000,23180
2019-01-04 02:03:54,10000,9290
2019-01-04 02:03:54,20000,18600
2019-01-04 02:03:54,20000,18600
2019-01-04 02:03:54,20000,18600
2019-01-04 02:03:54,30000,27900
2019-01-04 02:03:54,30000,27920
2019-01-04 02:03:54,50000,46510
2019-01-04 02:03:54,10000,9319
2019-01-04 02:03:54,29000,27000
2019-01-04 02:03:54,1e+05,93200
2019-01-04 02:03:54,25000,23300
2019-01-04 02:03:54,30000,27999
2019-01-04 02:03:54,10000,9350
2019-01-04 02:03:54,10000,9350
2019-01-04 02:03:54,30000,28050
2019-01-04 02:03:54,32600,30643
2019-01-04 23:50:20,47000,43376
2019-01-04 23:50:20,49000,45222
2019-01-04 23:50:20,50000,46145
2019-01-04 23:50:20,53000,48913
2019-01-04 23:50:20,55000,50759
2019-01-04 23:50:20,20000,18498
2019-01-04 23:50:20,10000,9259
2019-01-04 23:50:20,29000,26850
2019-01-04 23:50:20,22000,20394
2019-01-04 23:50:20,30000,27810
2019-01-04 23:50:20,34000,31518
2019-01-04 23:50:20,40000,37080
2019-01-04 23:50:20,50000,46350
2019-01-04 23:50:20,1e+05,92899
2019-01-04 23:50:20,12000,11136
2019-01-04 23:50:20,14000,12992
2019-01-04 23:50:20,20000,18560
2019-01-04 23:50:20,20000,18578
2019-01-04 23:50:20,22000,20416
2019-01-04 23:50:20,25000,23222
2019-01-05 08:09:46,25000,22680
2019-01-05 08:09:46,40000,36300
2019-01-05 08:09:46,30000,27240
2019-01-05 08:09:46,50000,45400
2019-01-05 08:09:46,32400,29646
2019-01-05 08:09:46,1e+05,92400
2019-01-05 08:09:46,3e+05,277200
2019-01-05 08:09:46,4e+05,369600
2019-01-05 08:09:46,60000,55440
2019-01-05 08:09:46,75000,69300
2019-01-05 08:09:46,10000,9250
2019-01-05 08:09:46,3000,2775
2019-01-05 08:09:46,22000,20394
2019-01-05 08:09:46,30000,27810
2019-01-05 08:09:46,50000,46350
2019-01-05 08:09:46,14000,12992
2019-01-05 08:09:46,20000,18560
2019-01-05 08:09:46,22000,20416
2019-01-05 08:09:46,30000,27840
2019-01-05 08:09:46,42000,38976
2019-01-06 10:58:12,240000,222230
2019-01-06 10:58:12,27000,24975
2019-01-06 10:58:12,5000,4625
2019-01-06 10:58:12,1e+05,92690
2019-01-06 10:58:12,10000,9260
2019-01-06 10:58:12,10000,9265
2019-01-06 10:58:12,14000,12964
2019-01-06 10:58:12,20000,18530
2019-01-06 10:58:12,30000,27800
2019-01-06 10:58:12,50000,46340
2019-01-06 10:58:12,51000,47270
2019-01-06 10:58:12,10000,9270
2019-01-06 10:58:12,35000,32500
2019-01-06 10:58:12,1e+05,93500
2019-01-06 10:58:12,10000,9369
2019-01-06 10:58:12,12105,11366
2019-01-06 10:58:12,20000,18760
2019-01-06 10:58:12,36000,33948
2019-01-06 10:58:12,675,637
2019-01-06 10:58:12,940,888
2019-01-06 14:20:51,20000,18360
2019-01-06 14:20:51,1e+05,91990
2019-01-06 14:20:51,44000,40470
2019-01-06 14:20:51,45000,41399
2019-01-06 14:20:51,50000,45990
2019-01-06 14:20:51,90000,82790
2019-01-06 14:20:51,12105,11148
2019-01-06 14:20:51,20000,18400
